name	mbid
Fred V & Grafix feat. Reija Lee	d5259aab-5a5d-42a8-a0b8-fb1bcd6b7ac9
Frontliner	68a2c082-aa5a-4138-a445-506ed0790176
Fynn	e0e6f3fe-b42b-4947-9769-116e9339e961
Fünf Sterne Deluxe	1491e2b8-23bf-41a8-8184-cccd7e98a23c
Gavin DeGraw	3f2a12e9-6398-42fd-b257-2f6abd4aa5fc
Gene Ammons	00dbf694-d614-44cc-91d3-21bf18800e3d
Gerra & Stone	ba496638-2180-4090-9f00-1d5983736cb2
Grace VanderWaal	
Gramatik	9b62a8a3-fcd5-4b51-a970-0f08a440ed6d
Grandbrothers	36250550-80c6-4f83-819b-092d12db5575
Gregor Salto	35170db9-c817-4783-b923-e5b4dd527a6c
Grey	fe06992b-0d0f-47b3-adab-7d21f1ce457b
Grizzly Bear	59a7fbcb-ff74-494d-abd0-9c82359040c9
Hellberg	57b63b14-ca23-42f3-8e41-652bdc945241
Herbie Hancock	27613b78-1b9d-4ec3-9db5-fa0743465fdd
Hoodie Allen	b28ac005-27fe-4bb9-86a2-dbf55ef21469
Hundreds	fd021ba4-e4a5-448a-8a3d-7e73f84ec611
Hyphen Hyphen	0ca5a598-a6d4-4fa7-8285-a1dc2fbfe2c2
Janis Joplin	76c9a186-75bd-436a-85c0-823e3efddb7f
Jay-Z	f82bcf78-5b69-4622-a5ef-73800768d9ac
Journey	abd506e1-6f2b-4d6f-b937-92c267f6f88b
Juan Magán	fe2d4768-80a4-4a00-b606-4872b6996a6a
Kasbo	ee963a5a-2b2c-4aef-ac91-78ad06082cee
KC Rebell	e7aec99d-0bd3-4ccc-9477-0e43b3926757
Kiss	e1f1e33e-2e4c-4d43-b91b-7064068d3283
KT	fdadaff6-1deb-447f-a412-f2d182f0f820
La Mafia del Amor	86c5b0ae-81a7-4c88-8a2f-df24b8beb55a
Lane 8	bd052b81-353a-4bce-8cd8-72ba9d4ce414
Lily Allen	6e0c7c0e-cba5-4c2c-a652-38f71ef5785d
Lindsey Stirling	53e40f93-f4af-4f8c-819c-7bbe4b6f0a1c
Liquido	5b7b9817-f937-48a6-b194-cb2b7e4084a3
Lizzo	50d06c43-5392-4393-ba2d-f091d8167227
Locnville	ee307690-8f9d-4aa4-8cce-fe7f8e1d3db6
Louis Armstrong	eea8a864-fcda-4602-9569-38ab446decd6
Louis Futon	c114f8d7-be33-4e3d-aaac-9a182a482375
Luke Sital-Singh	f03fe6bb-0fe6-42cf-843c-ef00d8759c8e
Lupe Fiasco	cf15719f-51f9-4db8-a15d-5eed9664ce69
Lynx	f6124632-a1fb-43f5-ac35-4f372a93df05
Macklemore	b6d7ec94-830c-44dd-b699-ce66556b7e55
Maeckes	a0e6b75e-c27d-4d51-b388-a9ff0a85fcaa
