name	mbid	artist_ref
Hard Noize	793c0ea2-b50c-4890-835a-7dd8e5963927	2009
Haupe	db4e0058-c778-4503-bf40-a2573ae4c7d9	333
Heatstroke		1541
Here I Go Again	9f7594ed-9eaf-4680-9adf-b5a204cd3706	890
Hippa To Da Hoppa	ffe00510-9fb2-4fed-82fb-25ed92313836	2085
Hollis to Hollywood	523642af-db25-4a11-b209-4c0c0cedc626	2061
How to Rob	7f8e10b8-527e-4200-8c0a-fb514c18e756	1026
Hupf In Gatsch	c83aac44-7fc6-47ad-a085-aa9e86e52451	257
I am from Austria	6c0f8a48-8e60-44b8-a315-01cc7c275382	286
I bin aus Österreich	6e458b1a-f58e-4c04-b919-09ebb8629a28	1619
I Can't Dance	881c1bc8-f653-4e8b-bb5e-bb0a850df23d	342
I Got You Babe	c3726adf-6366-4c12-b775-0f5b7e0ea1fa	2201
I Still Can't Stop	dbe58d41-7d7c-4c6a-9282-ae1ff55cb769	1515
I'm On One	53d2d22b-86b8-46b0-a144-82db5d811775	1555
I'm Still Standing	50d83ff0-6ffd-4a92-b353-c104bbb45b9e	2017
Ich war noch niemals in New York	e6d61e02-e1c5-4abf-b5f7-6f09735e5eec	886
Jump, Jive, an' Wail	b89ccfb7-deb4-49fb-8647-1c931d8badda	2063
Keep Your Hands Off My Girl	f5dee573-40c9-4107-9be3-da4f635f3a3f	259
Kohlhauser	f616d5a9-c141-486c-ba47-aae1b4b55dcb	2052
Livin' on a Prayer	c7e5ae79-b20b-46ab-89b4-63612ac3206f	1993
Man of the Year	70f74455-51ef-4aa0-9a29-f1569f0d121b	1462
Marble Floors	280497b9-2734-4397-a4ba-ed5e91d3ac06	1520
Mind Control	c8277b87-1f30-4432-9bf0-e8cdea4e428c	1483
Mr. Jones	fb48ad56-cf54-4c9b-8f01-737b46bdcfb7	2002
Ms. Hill	373e5b8f-ba0d-4f42-a412-e9d1542b093e	711
No Problem	1857d95d-2b81-475b-81f8-5a79b5c02ce0	1009
Oh My God	8881e26b-4f85-4820-8281-d3698f4013ab	1974
Play That Funky Music	cd4a9e48-e27e-4b10-b8fc-75c6a172e47e	891
Rap God	663df884-982e-4959-9cc8-6845969a2749	1503
Sacrilegious	28f7c471-ebac-4652-b15a-af22f430171a	1462
Say You Say Me	9c70eb1a-aef5-4432-b5c1-9d322e105d4e	2060
Schifoan	0d1afb14-0f87-437c-b5d0-f8d4654dbf0d	721
Skanker	fe5f9922-0149-4179-bee7-6a8654e06fc4	1428
Strung out VIP	372b0b03-8fe9-4dec-905b-a43627e8493a	1348
Swimming Pools (Drank) (extended version)	7dee4afc-5931-4295-955a-7ae44f403e70	1512
Chan Chan	47b7339f-8f7e-432e-acf1-8cb6b53a3554	318
Charlie Brown Theme	ed8db2c5-044f-40cc-bc25-a72325b3b941	1099
Cinderella Man	039a3915-b4ed-44c8-b980-adab76b2d5bb	1503
Cleanin' Out My Closet	5911195e-9b05-4a47-aa2b-bc69eac74226	1503
Come Home	1218d20a-a16a-4b62-b81c-b7ce5236d528	1772
Come on Eileen	1648a5e0-e324-4d93-88ba-8613f98bfa93	1827
Crazy	778c57f3-b103-4577-93e8-6d4a148dcdc4	343
Dankbar	e61dbaff-4672-43e9-9bf0-18e6b3d5fe26	1376
Days to Come	5d19278b-3adf-4d9e-8eb6-aff0fc36fe72	92
Detonate	6f40d3a4-265d-4f66-abe1-f7d3563e7c78	1604
Devil's Dance Floor	8cc400d5-78e4-4721-a880-7d655b11ecd3	970
Ding	bd07860e-2738-4c72-a768-70b2813790b3	582
Disconnected	a726dae7-df0f-4f3c-afd6-da525555bcae	1523
Don't Cry For Me Argentina	b0da7bb7-0593-49ab-8de5-b2d4217b3ddc	2066
Don't Wake Me	a1e6c0cd-098c-4cfb-aa42-3e3b2786f7f3	1259
Download	d319a2a4-0680-4c78-a258-e798bfa65304	941
Drive	d0740d16-7bff-4d8c-a3d4-37b3599c8353	2101
Drop the Game	b8708fcc-b3c1-4914-9789-d7f979363491	1486
Ein trauriges Paar Ski	e60b9989-6b4e-4686-b508-e6c97e4557dd	1602
El Aguante	0cce39f4-ba0f-4a87-ae47-758213e32405	1363
El Cayuco	3db94e3f-4c77-415f-9754-b46733d09006	879
El cuarto de tula	471cc66c-7772-4d6c-b780-b2429a48edc2	318
Elsa	d780f015-ef5a-4c06-9662-9f26d81ea434	2133
Endlich Nichtschwimmer (Live)	0b96ed97-5ef7-46fc-977b-ece4d2f14520	240
Esto te pone la cabeza mala	cd2d5d9b-6fe0-4274-9f12-3e1d3f1da300	2062
Everything I Do I Do It For You	8003d71b-d310-4f96-bb91-27d6008648e3	674
Evolve Or Be Extinct	15a7752b-d753-4f97-995a-e438286cdccc	2122
Falsche Band	ac6f794e-16e8-4d4f-bad9-a825e2353eba	1552
Feel	6f99d9a8-8001-4166-974f-4580bbec8ad5	857
Fine China	fc29fc29-cf17-494c-9556-a516a3c2f342	1494
Flamenco Sketches	250b3f1d-7620-42a9-87b3-5d1a166e0f2f	272
Yes Sir	123b9074-ea8a-4d7e-b728-cd90a0e6c048	1367
You Better Believe It	c81aecb5-d0be-4dbf-80ec-a51a200c3872	459
You Better Not Look My Way	0fbff86f-3179-4433-82e0-d58c7e61f377	1315
You Can't Hurry Love	adc3b7d9-8411-497b-8b29-b099407c5498	1316
You Get What You Give	89b9aa26-d233-4266-b31b-484044a85b65	1932
You Got Me	e516a8c8-3e24-4cdb-8f61-d9cafcbef346	177
You Had It	5da17c30-bd4f-48c3-a2e1-0fbb2e1cec6a	2032
You Only Live Once	4f9c026f-e959-4edc-9c99-e2b805590a0a	1005
You're Just My Kind	c9cb30f6-0c74-47e0-83b7-a921b1456e34	2218
You're Nobody 'Til Somebody Loves You	5af732a6-ab4a-4c72-8422-57b574ada266	1437
Young Blood	7112eab7-9067-458f-a5e0-a4666b4027d2	1311
Your Betrayal	6d3d402e-d77c-40cf-a4be-4843a0771dc7	2139
Youth of the Nation	2869ed34-722e-418e-ae33-dbd3869d799b	1232
Ziehn Digger	8e487929-7a19-4eb9-a7dc-31d4d8e75561	1376
Zorra En Tacas	5c6dbdcd-caa7-47b0-8dde-d7459729dece	904
Zu schade für Sprache	514e3e8b-75e0-4d2a-8544-60d3a8fa2f5d	1376
今夜はバギーパンツ	1e49b3af-7f20-4554-95d9-4c63c06f0e9c	111
發現號	9c723dd8-0b84-4158-8e52-fbb291bb1a14	563
Down the Road	0ef0d85b-2494-4a8c-b701-75266d9bde91	1407
Dynamite	bb42dea2-7354-4cb3-8e70-c1cb7dd94392	290
Everyday (Netsky Remix)	a34a0fc5-8b28-4e0a-add2-69bc31aed6cd	1428
Funktioniert nicht	e864a2db-80d4-4300-9507-996a73d242cf	285
I'm Different	5a24e39b-9807-429b-ae2a-c3b0867d0b15	1468
In the Summertime	70e1c87c-f662-4fba-ad17-3510f5206558	274
Johnny B. Goode	bd1c826a-69a7-4d75-970c-237c2d3f9501	1010
Kids With Guns	806d8ff3-d1d4-4178-a524-623b87ca0c62	1474
Money and the Power	0fb2f40a-155a-4342-9066-7f4d5bf0563e	1588
Not the Same	1b83c4da-b149-4222-a13c-15c1d690836a	727
Our Time	70d79315-792c-44e3-8b1b-d23a5b8444fc	917
Psychosocial	99eafe91-a43c-4adc-b3ea-8b6f8e0e4966	1404
R. Cali	c27dd7d8-aaf2-411f-9620-084daf9220da	1546
Rock You Like a Hurricane	446d684b-1053-4e4a-945d-7b8771e92d4a	1463
Selbstbefriedigung	f7964f4d-797d-49fa-934e-b4b5d35a5e39	1552
Shooting Stars	a1cf4540-1660-409f-a483-25b2225e2230	724
Slow Ride	95e7cb4c-4cc5-4777-92ab-7cf1ee33813f	253
Smells Like Teen Spirit	0ebe2d92-a11d-4b2b-9922-806383074ed7	279
Timewarp	83fb71ec-9669-44bc-8cf9-7f61526c3460	1578
TKO	1cd56799-2398-4bb9-98b7-5967a293c6de	1072
Uprising	0ca789c6-3618-48f1-8ee0-977f70a621d6	1079
